No,name,address,경도,위도,상태
5,옥산(부산),충북 청원군 옥산면오산리 589-15,?,?,실패
7,죽암(부산),충북 청원군 현도면선동1길 40-58,?,?,실패
16,경주(부산),경북 경주시 내남면월산리,?,?,실패
20,안성(서울),경기도 안성군 원곡면산하리 경부고속도로 372,?,?,실패
22,죽암(서울),충북 청원군 현도면죽전리 314,?,?,실패
28,경산(서울),경북 경산시 진량면신상리 995-3,?,?,실패
32,청주(서울),충북 청원군 옥산면 장남리284-16,?,?,실패
55,거창(광주),경남 거창군 가조면도리(가조가야로),?,?,실패
57,화성(목포),경기도 화성군 팔탄면덕천리 102-1,?,?,실패
58,행담도,충남 당진군 신평면매산리 513,?,?,실패
66,화성(서울),경기도 화성군 팔탄면덕천리 102-3,?,?,실패
67,행담도,충남 당진군 신평면매산리 513,?,?,실패
73,홍성(서울),경기 이천시 부발읍아미리,?,?,실패
105,공주(대전),충남 공주시 장기면송선리 320-3,?,?,실패
121,오창(남이),충북 청원군 오창면화산리 395-15,?,?,실패
124,이천(하남),경기 이천시 신둔면용면리,?,?,실패
125,오창(하남),충북 청원군 오창면화산리 396-10,?,?,실패
129,금왕(제천),충북 음성군 금왕읍용계리,?,?,실패
132,금왕(평택),충북 음성군 금왕읍용계리,?,?,실패
144,충주(창원),충북 충주시 가금면용전리 산 50-3,?,?,실패
149,성주(양평),경북 성주군 초전면용봉리(중부내륙고속도로),?,?,실패
151,여주(강릉),경기 여주군 가남면본두리 687-1,?,?,실패
159,문막(인천),강원 원주시 문막읍포진리,?,?,실패
161,평창(인천),강원 평창군 용평면이목정리,?,?,실패
188,시흥하늘,경기 시흥시 조남동서울외곽순환고속도로,?,?,실패
190,장유(서부산),경남 김해시 장유면부곡리 53-1,?,?,실패
197,낙동강구미(상주),경상북도 구미시 도개면 용산3길 132122-65,?,?,실패
199,현풍(대구),대구광역시 달성군 현풍면성하리 342,?,?,실패
200,현풍(창원),대구 달성군 현풍면성하리 286,?,?,실패
