name,address
옥산(부산),충북 청원군 옥산면오산리 589-15
죽암(부산),충북 청원군 현도면선동1길 40-58
경주(부산),경북 경주시 내남면월산리
안성(서울),경기도 안성군 원곡면산하리 경부고속도로 372
죽암(서울),충북 청원군 현도면죽전리 314
경산(서울),경북 경산시 진량면신상리 995-3
청주(서울),충북 청원군 옥산면 장남리284-16
거창(광주),경남 거창군 가조면도리(가조가야로)
화성(목포),경기도 화성군 팔탄면덕천리 102-1
행담도,충남 당진군 신평면매산리 513
화성(서울),경기도 화성군 팔탄면덕천리 102-3
행담도,충남 당진군 신평면매산리 513
홍성(서울),경기 이천시 부발읍아미리
공주(대전),충남 공주시 장기면송선리 320-3
오창(남이),충북 청원군 오창면화산리 395-15
이천(하남),경기 이천시 신둔면용면리
오창(하남),충북 청원군 오창면화산리 396-10
금왕(제천),충북 음성군 금왕읍용계리
금왕(평택),충북 음성군 금왕읍용계리
충주(창원),충북 충주시 가금면용전리 산 50-3
성주(양평),경북 성주군 초전면용봉리(중부내륙고속도로)
여주(강릉),경기 여주군 가남면본두리 687-1
문막(인천),강원 원주시 문막읍포진리
평창(인천),강원 평창군 용평면이목정리
시흥하늘,경기 시흥시 조남동서울외곽순환고속도로
장유(서부산),경남 김해시 장유면부곡리 53-1
낙동강구미(상주),경상북도 구미시 도개면 용산3길 132122-65
현풍(대구),대구광역시 달성군 현풍면성하리 342
현풍(창원),대구 달성군 현풍면성하리 286
